Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;74,2;444,51;645328,9;73,74
0;0;73;446,51;648231,1;74,19
0;0;71,8;450,54;654087,1;74,77
0;0;70,5;453,7;658676,6;75,32
0;0;69,3;457,11;663630,7;75,74
0;0;68,1;459,17;666611,1;76,31
0;0;66,9;463,81;673356,4;76,87
0;0;65,7;465,6;675945,5;77,44
0;0;64,5;469,76;681988,5;77,98
0;0;63,3;472,64;686168,5;78,51
0;0;62,1;476,05;691125,1;79,01
0;0;60,9;478,65;694898,1;79,53
0;0;59,7;483,97;702625,7;80,06
0;0;58,4;484,93;704015;80,58
0;0;57,2;488,16;708705,9;81,17
0;0;56,1;492,75;715360,9;81,68
0;0;54,8;494,52;717941;82,22
0;0;53,6;498,67;723956,5;82,74
0;0;52,4;501,95;728730,9;83,37
0;0;51,2;504,82;732892,5;83,84
0;0;50;508,67;738486,5;84,42
0;0;48,8;511,99;743296,8;85,01
0;0;47,6;516,07;749220,7;85,53
0;0;46,4;517,84;751799,1;86,11
0;0;45,2;522,29;758253,7;86,58
0;0;43,9;524,7;761753,9;87,14
0;0;42,7;528,39;767106,6;87,77
0;0;41,6;531,7;771919,7;88,27
0;0;40,3;534,95;776635;88,87
0;0;39,1;539,29;782932,7;89,51
0;0;37,9;541,25;785778,4;89,95
0;0;36,7;545,04;791282,1;90,42
0;0;35,5;548,76;796676,8;91,03
0;0;34,3;552,58;802220,7;91,64
0;0;33,1;555,23;806077,5;92,31
0;0;31,9;558,68;811082,2;92,73
0;0;30,7;561,76;815555,4;93,32
0;0;29,5;565,22;820571,2;93,88
0;0;28,3;568,99;826047,5;94,51
0;0;27;573,36;832395;95,14
0;0;25,8;575,93;836120,4;95,55
0;0;24,6;578,07;839235,9;96,12
0;0;23,4;581,22;843809,6;96,63
0;0;22,2;585,29;849716,7;97,16
0;0;21;589,94;856462,4;97,7
0;0;19,8;590,36;857074,8;98,2
0;0;18,6;594,68;863355;98,66
0;0;17,4;596,07;865368,5;99,12
0;0;16,2;598,77;869288,2;99,52
0;0;15;601,69;873517,7;99,8
0;0;13,8;602,3;874405,4;100
0;0;12,6;602,86;875227,2;99,92
0;0;11,4;600,07;871167,4;99,76
0;0;10,2;597,5;867437,9;99,3
0;0;8,9;591,63;858914;98,35
0;0;7,7;582,52;845697,6;96,73
0;0;6,5;569,69;827073,8;94,58
0;0;5,3;551,11;800087,8;91,3
0;0;4,1;518,67;752991;86,28
0;0;2,9;474,03;688188,8;78,79
0;0;1,7;418,33;607320,3;69,51
0;0;0,5;379,58;551070,8;63,02
0;0;-0,5;359,95;522565,5;59,74
;;;;;
;;;;;
Measurement time:; 02/08/2022 20:03:25;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 10 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;310;49,29;71552,7;27,58
0;0;309,1;48,4;70263,2;27,91
0;0;307,6;48,74;70762,8;28,13
0;0;306,6;49,05;71204,4;28,35
0;0;305,3;49,3;71569;28,42
0;0;304,1;49,59;71996,4;28,56
0;0;302,9;49,95;72513,1;28,8
0;0;301,7;50,24;72933,7;28,92
0;0;300,5;50,38;73137,4;29,03
0;0;299,3;50,68;73576,9;29,25
0;0;298,1;50,95;73974,9;29,34
0;0;296,9;51,27;74427,4;29,57
0;0;295,7;51,51;74783;29,72
0;0;294,5;51,81;75220,4;29,86
0;0;293,3;52,08;75612,5;30,02
0;0;292,1;52,4;76079,7;30,14
0;0;290,9;52,55;76295,2;30,31
0;0;289,7;52,99;76922,9;30,55
0;0;288,5;53,24;77295,2;30,66
0;0;287,3;53,56;77754,1;30,86
0;0;286,1;53,82;78140;31,01
0;0;284,9;54,13;78587,9;31,22
0;0;283,7;54,53;79172,7;31,41
0;0;282,5;54,65;79343,2;31,52
0;0;281,3;54,9;79698,8;31,67
0;0;280,1;55,34;80347,3;31,98
0;0;278,9;55,64;80783,8;32,07
0;0;277,6;55,96;81238,7;32,27
0;0;276,4;56,3;81729,3;32,43
0;0;275,3;56,6;82167,2;32,63
0;0;274,1;56,86;82552;32,75
0;0;272,8;57,29;83166,9;33
0;0;271,6;57,44;83393,1;33,11
0;0;270,4;57,98;84170,3;33,42
0;0;269,2;58,22;84519;33,51
0;0;268;58,49;84918,5;33,78
0;0;266,8;58,76;85303,4;33,85
0;0;265,6;59,19;85930,4;34,13
0;0;264,4;59,58;86490,9;34,3
0;0;263,2;59,83;86864,9;34,46
0;0;262;60,26;87479,4;34,72
0;0;260,8;60,57;87932,4;34,89
0;0;259,6;60,86;88357,4;35,04
